id,group,s,t
180,0,6,59
181,7,6,63
182,7,6,64
183,4,6,79
184,15,6,89
185,16,6,96
186,40,6,102
187,15,6,126
188,15,6,128
189,15,6,132
190,15,6,134
191,0,6,137
192,21,6,139
193,21,6,140
194,21,6,141
195,21,6,149
196,5,6,157
197,4,6,168
198,4,6,169
199,4,6,170
200,4,6,181
,,6,183
,,6,184
,,6,191
,,6,193
,,6,194
,,6,195
,,7,5
,,7,7
,,7,8
,,7,11
,,7,12
,,7,19
,,7,44
,,7,62
,,7,86
,,7,112
,,7,141
,,7,161
,,8,7
,,8,8
,,8,9
,,8,11
,,8,12
,,8,44
,,8,86
,,8,141
,,8,160
,,9,8
,,9,9
,,9,19
,,9,44
,,10,11
,,10,13
,,10,20
,,10,21
,,10,25
,,10,36
,,10,64
,,10,69
,,10,82
,,10,86
,,10,96
,,10,105
,,10,121
,,10,134
,,10,143
,,10,173
,,11,7
,,11,8
,,11,10
,,11,11
,,11,12
,,11,20
,,11,21
,,11,22
,,11,44
,,11,64
,,11,90
,,11,91
,,11,92
,,11,106
,,11,128
,,11,129
,,11,133
,,11,141
,,11,159
,,11,161
,,11,183
,,12,7
,,12,8
,,12,11
,,12,12
,,12,13
,,12,14
,,12,19
,,12,44
,,12,62
,,12,82
,,12,86
,,12,121
,,12,141
,,12,160
,,12,161
,,12,183
,,13,2
,,13,4
,,13,10
,,13,13
,,13,15
,,13,19
,,13,21
,,13,23
,,13,25
,,13,26
,,13,27
,,13,29
,,13,30
,,13,32
,,13,33
,,13,35
,,13,36
,,13,38
,,13,39
,,13,40
,,13,47
,,13,51
,,13,53
,,13,56
,,13,63
,,13,65
,,13,69
,,13,78
,,13,79
,,13,83
,,13,90
,,13,93
,,13,94
,,13,95
,,13,96
,,13,98
,,13,108
,,13,113
,,13,114
,,13,118
,,13,126
,,13,128
,,13,129
,,13,130
,,13,135
,,13,137
,,13,145
,,13,146
,,13,147
,,13,156
,,13,164
,,13,165
,,13,167
,,13,168
,,13,170
,,13,171
,,13,172
,,13,177
,,13,179
,,13,183
,,13,184
,,13,190
,,13,191
,,13,197
,,13,199
,,14,12
,,14,14
,,14,18
,,14,47
,,14,51
,,14,53
,,14,61
,,14,64
,,14,65
,,14,79
,,14,85
,,14,86
,,14,93
,,14,103
,,14,128
,,14,129
,,14,130
,,14,133
,,14,141
,,14,167
,,14,168
,,14,172
,,14,178
,,14,181
,,14,196
,,15,15
,,15,16
,,15,45
,,15,46
,,15,62
,,15,82
,,15,128
,,15,139
,,15,140
,,15,160
,,15,162
,,15,164
,,15,174
,,15,183
,,16,44
,,16,63
,,16,64
,,16,68
,,16,80
,,16,81
,,16,105
,,16,106
,,16,107
,,16,115
,,16,121
,,16,128
,,16,132
,,16,157
,,16,164
,,16,170
,,16,174
,,16,183
,,17,0
,,17,1
,,17,17
,,17,18
,,17,21
,,17,23
,,17,41
,,17,42
,,17,62
,,17,73
,,17,74
,,17,82
,,17,83
,,17,85
,,17,86
,,17,87
,,17,105
,,17,106
,,17,107
,,17,115
,,17,120
,,17,121
,,17,142
,,17,146
,,17,147
,,17,153
,,17,154
,,17,155
,,17,160
,,17,162
,,17,163
,,17,166
,,17,173
,,17,177
,,17,180
,,17,189
,,18,0
,,18,17
,,18,18
,,18,62
,,18,74
,,18,85
,,18,86
,,18,103
,,18,104
,,18,107
,,18,115
,,18,120
,,18,121
,,18,133
,,18,160
,,18,166
,,18,167
,,18,177
,,18,182
,,19,7
,,19,11
,,19,12
,,19,19
,,19,42
,,19,44
,,19,49
,,19,62
,,19,83
,,19,107
,,19,121
,,19,141
,,19,142
,,19,160
,,19,161
,,19,183
,,19,184
,,20,10
,,20,11
,,20,20
,,20,21
,,20,22
,,20,28
,,20,42
,,20,62
,,20,68
,,20,72
,,20,74
,,20,80
,,20,81
,,20,82
,,20,83
,,20,86
,,20,92
,,20,96
,,20,106
,,20,127
,,20,137
,,20,142
,,20,160
,,20,166
,,20,173
,,20,187
,,20,188
,,21,1
,,21,5
,,21,6
,,21,10
,,21,11
,,21,13
,,21,17
,,21,20
,,21,21
,,21,22
,,21,28
,,21,29
,,21,36
,,21,41
,,21,42
,,21,44
,,21,46
,,21,62
,,21,64
,,21,68
,,21,72
,,21,74
,,21,80
,,21,81
,,21,82
,,21,83
,,21,86
,,21,87
,,21,92
,,21,96
,,21,105
,,21,106
,,21,107
,,21,114
,,21,115
,,21,118
,,21,121
,,21,127
,,21,128
,,21,129
,,21,137
,,21,145
,,21,146
,,21,152
,,21,160
,,21,166
,,21,169
,,21,173
,,21,174
,,21,183
,,21,184
,,21,187
,,21,188
,,21,189
,,22,11
,,22,20
,,22,21
,,22,22
,,22,35
,,22,92
,,22,127
,,22,137
,,22,155
,,22,173
,,23,13
,,23,23
,,23,24
,,23,25
,,23,26
,,23,27
,,23,28
,,23,29
,,23,30
,,23,31
,,23,32
,,23,33
,,23,34
,,23,35
,,23,36
,,23,37
,,23,38
,,23,39
,,23,40
,,23,62
,,23,82
,,23,87
,,23,96
,,23,107
,,23,115
,,23,116
,,23,121
,,23,128
,,23,135
,,23,151
,,23,160
,,23,165
,,23,166
,,23,170
,,23,171
,,23,172
,,24,23
,,24,24
,,24,25
,,24,26
,,24,27
,,24,28
,,24,29
,,24,30
,,24,31
,,24,32
,,24,33
,,24,34
,,24,35
,,24,36
,,24,37
,,24,38
,,24,39
,,24,40
,,24,64
,,24,96
,,24,114
,,24,151
,,24,169
,,25,10
,,25,23
,,25,24
,,25,26
,,25,30
,,25,34
,,25,36
,,25,38
,,25,40
,,25,133
,,26,23
,,26,24
,,26,25
,,26,26
,,26,27
,,26,28
,,26,29
,,26,32
,,26,34
,,26,35
,,26,38
,,26,40
,,26,47
,,26,135
,,26,170
,,27,23
,,27,24
,,27,25
,,27,26
,,27,27
,,27,28
,,27,29
,,27,30
,,27,31
,,27,32
,,27,33
,,27,34
,,27,35
,,27,36
,,27,37
,,27,38
,,27,39
,,27,40
,,27,51
,,27,62
,,27,93
,,27,116
,,27,121
,,27,135
,,27,136
,,27,165
,,27,170
,,27,197
,,28,20
,,28,21
,,28,23
,,28,24
,,28,25
,,28,26
,,28,27
,,28,28
,,28,29
,,28,30
,,28,31
,,28,32
,,28,33
,,28,34
,,28,35
,,28,36
,,28,37
,,28,38
,,28,39
,,28,40
,,28,44
,,28,46
,,28,51
,,28,62
,,28,63
,,28,80
,,28,81
,,28,86
,,28,87
,,28,96
,,28,105
,,28,107
,,28,113
,,28,114
,,28,115
,,28,116
,,28,128
,,28,129
,,28,133
,,28,151
,,28,160
,,28,165
,,28,169
,,28,170
,,28,172
,,28,183
,,29,5
,,29,21
,,29,23
,,29,24
,,29,25
,,29,26
,,29,27
,,29,28
,,29,29
,,29,30
,,29,31
,,29,32
,,29,33
,,29,34
,,29,35
,,29,36
,,29,37
,,29,38
,,29,39
,,29,40
,,29,51
,,29,62
,,29,113
,,29,116
,,29,133
,,29,151
,,29,169
,,29,183
,,30,23
,,30,24
,,30,25
,,30,26
,,30,27
,,30,28
,,30,29
,,30,30
,,30,31
,,30,32
,,30,33
,,30,34
,,30,35
,,30,36
,,30,37
,,30,38
,,30,39
,,30,40
,,30,41
,,30,44
,,30,51
,,30,62
,,30,82
,,30,86
,,30,115
,,30,116
,,30,121
,,30,128
,,30,129
,,30,133
,,30,135
,,30,136
,,30,151
,,30,160
,,30,165
,,30,169
,,30,172
,,31,23
,,31,24
,,31,27
,,31,28
,,31,29
,,31,30
,,31,31
,,31,32
,,31,33
,,31,35
,,31,36
,,31,37
,,31,39
,,31,40
,,31,51
,,31,82
,,31,96
,,31,107
,,31,115
,,31,121
,,31,123
,,31,135
,,31,142
,,31,143
,,31,151
,,31,155
,,31,162
,,31,165
,,31,170
,,31,198
,,32,23
,,32,24
,,32,26
,,32,27
,,32,28
,,32,30
,,32,31
,,32,32
,,32,33
,,32,35
,,32,40
,,32,113
,,32,151
,,32,165
,,33,23
,,33,27
,,33,28
,,33,29
,,33,30
,,33,31
,,33,32
,,33,33
,,33,34
,,33,35
,,33,39
,,33,40
,,33,113
,,34,5
,,34,23
,,34,24
,,34,25
,,34,26
,,34,27
,,34,28
,,34,29
,,34,30
,,34,31
,,34,32
,,34,33
,,34,34
,,34,35
,,34,36
,,34,37
,,34,38
,,34,39
,,34,40
,,34,54
,,34,151
,,35,5
,,35,14
,,35,23
,,35,24
,,35,25
,,35,26
,,35,27
,,35,28
,,35,29
,,35,30
,,35,31
,,35,32
,,35,33
,,35,34
,,35,35
,,35,36
,,35,37
,,35,38
,,35,39
,,35,40
,,35,51
,,35,62
,,35,107
,,35,114
,,35,121
,,35,128
,,35,129
,,35,151
,,35,165
,,35,168
,,35,170
,,36,10
,,36,21
,,36,23
,,36,25
,,36,28
,,36,29
,,36,30
,,36,31
,,36,36
,,36,48
,,36,113
,,36,121
,,36,129
,,36,165
,,36,169
,,36,183
,,37,23
,,37,24
,,37,25
,,37,26
,,37,27
,,37,28
,,37,29
,,37,30
,,37,31
,,37,32
,,37,33
,,37,34
,,37,35
,,37,36
,,37,37
,,37,38
,,37,39
,,37,40
,,37,48
,,37,86
,,37,96
,,37,112
,,37,123
,,37,151
,,38,23
,,38,25
,,38,26
,,38,27
,,38,28
,,38,29
,,38,30
,,38,31
,,38,33
,,38,35
,,38,37
,,38,38
,,38,39
,,38,40
,,38,47
,,38,48
,,38,86
,,38,113
,,38,116
,,38,165
,,38,170
,,38,171
,,39,23
,,39,27
,,39,28
,,39,29
,,39,34
,,39,35
,,39,39
,,39,40
,,39,86
,,39,114
,,39,165
,,40,23
,,40,24
,,40,25
,,40,26
,,40,27
,,40,28
,,40,29
,,40,30
,,40,31
,,40,32
,,40,33
,,40,34
,,40,35
,,40,37
,,40,38
,,40,39
,,40,40
,,40,47
,,40,48
,,40,75
,,40,93
,,40,113
,,40,119
,,40,135
,,40,151
,,40,170
,,40,171
,,41,5
,,41,14
,,41,23
,,41,28
,,41,30
,,41,41
,,41,42
,,41,47
,,41,51
,,41,62
,,41,63
,,41,85
,,41,86
,,41,87
,,41,93
,,41,94
,,41,95
,,41,105
,,41,107
,,41,113
,,41,114
,,41,115
,,41,121
,,41,123
,,41,128
,,41,133
,,41,136
,,41,160
,,41,165
,,41,166
,,41,167
,,41,169
,,41,171
,,41,180
,,41,196
,,41,197
,,41,198
,,41,199
,,41,200
,,42,5
,,42,17
,,42,19
,,42,20
,,42,23
,,42,41
,,42,42
,,42,44
,,42,58
,,42,64
,,42,74
,,42,81
,,42,83
,,42,87
,,42,105
,,42,106
,,42,115
,,42,128
,,42,129
,,42,143
,,42,145
,,42,147
,,42,160
,,42,163
,,42,166
,,42,169
,,42,183
,,42,184
,,42,187
,,42,188
,,42,190
,,43,43
,,43,44
,,44,7
,,44,8
,,44,9
,,44,10
,,44,11
,,44,12
,,44,16
,,44,19
,,44,30
,,44,43
,,44,44
,,44,51
,,44,62
,,44,82
,,44,86
,,44,105
,,44,106
,,44,107
,,44,121
,,44,128
,,44,129
,,44,133
,,44,141
,,44,155
,,44,160
,,44,161
,,44,166
,,44,183
,,45,15
,,45,16
,,45,45
,,45,46
,,45,62
,,45,107
,,45,124
,,45,139
,,45,140
,,45,142
,,45,162
,,45,164
,,46,3
,,46,15
,,46,16
,,46,21
,,46,45
,,46,46
,,46,63
,,46,96
,,46,106
,,46,114
,,46,121
,,46,128
,,46,129
,,46,132
,,46,137
,,46,139
,,46,140
,,46,155
,,46,164
,,46,169
,,46,174
,,47,14
,,47,26
,,47,38
,,47,40
,,47,41
,,47,47
,,47,48
,,47,76
,,47,79
,,47,86
,,47,96
,,47,107
,,47,113
,,47,114
,,47,116
,,47,129
,,47,135
,,47,160
,,47,168
,,47,172
,,48,27
,,48,36
,,48,37
,,48,39
,,48,40
,,48,47
,,48,48
,,48,50
,,48,75
,,48,76
,,48,84
,,48,96
,,48,105
,,48,113
,,48,114
,,48,115
,,48,151
,,48,165
,,48,166
,,48,171
,,49,49
,,49,50
,,49,71
,,49,83
,,49,84
,,49,87
,,50,48
,,50,49
,,50,50
,,50,71
,,50,84
,,50,87
,,50,152
,,51,27
,,51,28
,,51,29
,,51,30
,,51,35
,,51,41
,,51,44
,,51,51
,,51,64
,,51,79
,,51,82
,,51,85
,,51,93
,,51,95
,,51,100
,,51,109
,,51,112
,,51,113
,,51,114
,,51,118
,,51,124
,,51,128
,,51,133
,,51,141
,,51,143
,,51,160
,,51,165
,,51,196
,,51,197
,,51,199
,,51,200
,,52,1
,,52,52
,,52,53
,,52,61
,,52,103
,,52,128
,,52,146
,,52,157
,,52,185
,,52,197
,,53,14
,,53,18
,,53,61
,,53,82
,,53,85
,,53,103
,,53,128
,,53,129
,,53,157
,,53,178
,,53,182
,,54,2
,,54,6
,,54,34
,,54,54
,,54,55
,,54,56
,,54,57
,,54,58
,,54,59
,,54,63
,,54,88
,,54,89
,,54,96
,,54,107
,,54,126
,,54,131
,,54,132
,,54,137
,,54,138
,,54,166
,,54,174
,,54,194
,,55,2
,,55,3
,,55,6
,,55,54
,,55,55
,,55,56
,,55,57
,,55,58
,,55,59
,,55,86
,,55,107
,,55,126
,,55,131
,,55,160
,,55,166
,,55,193
,,56,2
,,56,3
,,56,4
,,56,6
,,56,54
,,56,55
,,56,56
,,56,57
,,56,58
,,56,59
,,56,63
,,56,89
,,56,96
,,56,126
,,56,137
,,56,138
,,56,174
,,56,194
,,57,2
,,57,3
,,57,4
,,57,5
,,57,6
,,57,54
,,57,55
,,57,56
,,57,57
,,57,58
,,57,59
,,57,63
,,57,64
,,57,88
,,57,89
,,57,96
,,57,126
,,57,137
,,57,138
,,57,160
,,57,174
,,57,193
,,57,194
,,57,195
,,58,2
,,58,3
,,58,4
,,58,5
,,58,6
,,58,13
,,58,54
,,58,55
,,58,56
,,58,57
,,58,58
,,58,59
,,58,62
,,58,63
,,58,81
,,58,82
,,58,83
,,58,84
,,58,86
,,58,87
,,58,88
,,58,89
,,58,96
,,58,105
,,58,107
,,58,115
,,58,121
,,58,126
,,58,129
,,58,131
,,58,132
,,58,137
,,58,138
,,58,142
,,58,145
,,58,154
,,58,155
,,58,158
,,58,159
,,58,160
,,58,162
,,58,166
,,58,174
,,58,175
,,58,183
,,58,193
,,58,194
,,58,195
,,59,2
,,59,3
,,59,4
,,59,5
,,59,6
,,59,54
,,59,55
,,59,56
,,59,57
,,59,58
,,59,59
,,59,63
,,59,89
,,59,96
,,59,132
,,59,137
,,59,138
,,59,160
,,59,192
,,59,194
,,59,195
,,60,60
,,60,61
,,60,95
,,60,103
,,60,104
,,60,105
,,60,122
,,60,133
,,60,150
,,60,157
,,60,167
,,60,172
,,60,177
,,60,179
,,60,181
,,60,182
,,61,14
,,61,19
,,61,52
,,61,60
,,61,61
,,61,64
,,61,95
,,61,103
,,61,104
,,61,123
,,61,150
,,61,157
,,61,160
,,61,172
,,61,178
,,61,179
,,61,181
,,61,182
,,62,2
,,62,3
,,62,4
,,62,7
,,62,8
,,62,12
,,62,15
,,62,17
,,62,18
,,62,19
,,62,21
,,62,23
,,62,28
,,62,29
,,62,30
,,62,35
,,62,41
,,62,44
,,62,45
,,62,58
,,62,62
,,62,63
,,62,64
,,62,68
,,62,70
,,62,77
,,62,78
,,62,79
,,62,80
,,62,81
,,62,82
,,62,83
,,62,86
,,62,87
,,62,89
,,62,90
,,62,98
,,62,99
,,62,106
,,62,107
,,62,113
,,62,114
,,62,115
,,62,128
,,62,129
,,62,131
,,62,132
,,62,133
,,62,134
,,62,137
,,62,141
,,62,142
,,62,143
,,62,147
,,62,151
,,62,152
,,62,153
,,62,158
,,62,159
,,62,163
,,62,164
,,62,168
,,62,169
,,62,170
,,62,172
,,62,173
,,62,174
,,62,179
,,62,180
,,62,183
,,62,184
,,62,187
,,62,188
,,62,189
,,62,190
,,63,2
,,63,3
,,63,4
,,63,6
,,63,13
,,63,16
,,63,28
,,63,41
,,63,44
,,63,46
,,63,54
,,63,55
,,63,56
,,63,57
,,63,58
,,63,59
,,63,62
,,63,63
,,63,81
,,63,82
,,63,87
,,63,88
,,63,89
,,63,107
,,63,114
,,63,115
,,63,121
,,63,126
,,63,128
,,63,129
,,63,131
,,63,132
,,63,137
,,63,138
,,63,158
,,63,160
,,63,162
,,63,164
,,63,169
,,63,174
,,63,175
,,63,183
,,63,184
,,63,193
,,63,194
,,63,195
,,64,5
,,64,6
,,64,11
,,64,14
,,64,21
,,64,24
,,64,42
,,64,51
,,64,61
,,64,64
,,64,65
,,64,68
,,64,74
,,64,80
,,64,87
,,64,89
,,64,90
,,64,91
,,64,93
,,64,94
,,64,95
,,64,96
,,64,99
,,64,103
,,64,113
,,64,115
,,64,116
,,64,124
,,64,128
,,64,133
,,64,134
,,64,140
,,64,141
,,64,149
,,64,157
,,64,165
,,64,168
,,64,169
,,64,170
,,64,172
,,64,173
,,64,183
,,64,184
,,64,191
,,64,196
,,64,197
,,64,199
,,65,0
,,65,14
,,65,51
,,65,53
,,65,64
,,65,65
,,65,92
,,65,94
,,65,101
,,65,107
,,65,129
,,65,130
,,65,133
,,65,135
,,65,169
,,65,172
,,65,176
,,65,177
,,65,178
,,65,197
,,65,199
,,65,200
,,66,48
,,66,64
,,66,66
,,66,67
,,66,90
,,66,91
,,66,96
,,66,108
,,66,111
,,66,112
,,66,117
,,66,121
,,66,146
,,67,66
,,67,74
,,67,86
,,67,108
,,67,160
,,67,189
,,68,16
,,68,20
,,68,21
,,68,62
,,68,68
,,68,69
,,68,80
,,68,82
,,68,86
,,68,106
,,68,107
,,68,121
,,68,142
,,68,160
,,68,173
,,68,183
,,68,184
,,69,10
,,69,13
,,69,64
,,69,68
,,69,69
,,69,80
,,69,81
,,69,86
,,69,87
,,69,105
,,69,107
,,69,108
,,69,141
,,69,160
,,69,173
,,69,183
,,69,184
,,69,189
,,69,190
,,70,62
,,70,71
,,70,83
,,70,84
,,70,152
,,70,180
,,70,186
,,71,49
,,71,50
,,71,70
,,71,71
,,71,83
,,71,84
,,71,121
,,71,152
,,71,162
,,72,20
,,72,21
,,72,106
,,72,163
,,73,0
,,73,17
,,73,73
,,73,74
,,73,84
,,73,106
,,73,116
,,73,166
,,74,0
,,74,1
,,74,17
,,74,18
,,74,20
,,74,21
,,74,42
,,74,62
,,74,64
,,74,67
,,74,73
,,74,74
,,74,85
,,74,86
,,74,87
,,74,105
,,74,106
,,74,107
,,74,116
,,74,120
,,74,121
,,74,142
,,74,152
,,74,166
,,74,177
,,74,187
,,74,188
,,75,36
,,75,40
,,75,48
,,75,75
,,75,76
,,75,96
,,75,135
,,76,47
,,76,48
,,76,75
,,76,76
,,76,96
,,76,119
,,76,139
,,77,62
,,77,78
,,77,79
,,77,105
,,77,107
,,77,121
,,77,166
,,79,13
,,79,14
,,79,47
,,79,51
,,79,62
,,79,77
,,79,78
,,79,79
,,79,107
,,79,116
,,79,120
,,79,128
,,79,133
,,79,152
,,79,160
,,79,162
,,79,165
,,79,166
,,80,16
,,80,20
,,80,21
,,80,28
,,80,62
,,80,68
,,80,80
,,80,81
,,80,82
,,80,92
,,80,96
,,80,105
,,80,106
,,80,107
,,80,112
,,80,114
,,80,121
,,80,128
,,80,129
,,80,137
,,80,142
,,80,169
,,80,174
,,80,183
,,80,184
,,80,187
,,80,189
,,81,3
,,81,16
,,81,20
,,81,21
,,81,28
,,81,42
,,81,44
,,81,46
,,81,62
,,81,63
,,81,69
,,81,80
,,81,81
,,81,82
,,81,86
,,81,87
,,81,105
,,81,106
,,81,107
,,81,108
,,81,114
,,81,121
,,81,128
,,81,129
,,81,137
,,81,142
,,81,145
,,81,155
,,81,160
,,81,161
,,81,162
,,81,166
,,81,169
,,81,170
,,81,183
,,81,184
,,81,188
,,81,189
,,82,1
,,82,4
,,82,5
,,82,10
,,82,12
,,82,17
,,82,18
,,82,20
,,82,21
,,82,23
,,82,27
,,82,28
,,82,30
,,82,31
,,82,36
,,82,41
,,82,44
,,82,46
,,82,50
,,82,51
,,82,53
,,82,58
,,82,62
,,82,63
,,82,68
,,82,74
,,82,77
,,82,78
,,82,80
,,82,81
,,82,82
,,82,83
,,82,84
,,82,86
,,82,87
,,82,93
,,82,96
,,82,99
,,82,104
,,82,105
,,82,106
,,82,107
,,82,114
,,82,115
,,82,116
,,82,121
,,82,123
,,82,124
,,82,127
,,82,128
,,82,129
,,82,130
,,82,131
,,82,132
,,82,133
,,82,137
,,82,142
,,82,143
,,82,145
,,82,147
,,82,150
,,82,151
,,82,152
,,82,153
,,82,154
,,82,158
,,82,160
,,82,161
,,82,163
,,82,165
,,82,166
,,82,168
,,82,169
,,82,170
,,82,172
,,82,173
,,82,179
,,82,180
,,82,183
,,82,184
,,82,186
,,82,187
,,82,188
,,82,189
,,82,190
,,82,191
,,82,199
,,83,13
,,83,20
,,83,23
,,83,41
,,83,44
,,83,46
,,83,62
,,83,63
,,83,71
,,83,81
,,83,82
,,83,83
,,83,84
,,83,86
,,83,87
,,83,96
,,83,101
,,83,105
,,83,106
,,83,107
,,83,113
,,83,114
,,83,115
,,83,118
,,83,121
,,83,128
,,83,133
,,83,140
,,83,141
,,83,142
,,83,143
,,83,147
,,83,152
,,83,153
,,83,154
,,83,160
,,83,162
,,83,163
,,83,166
,,83,168
,,83,173
,,83,180
,,83,186
,,83,191
,,83,199
,,84,1
,,84,13
,,84,18
,,84,30
,,84,31
,,84,37
,,84,39
,,84,48
,,84,49
,,84,50
,,84,57
,,84,58
,,84,62
,,84,70
,,84,71
,,84,73
,,84,75
,,84,77
,,84,82
,,84,83
,,84,84
,,84,86
,,84,87
,,84,105
,,84,107
,,84,110
,,84,111
,,84,112
,,84,113
,,84,115
,,84,118
,,84,119
,,84,121
,,84,127
,,84,134
,,84,142
,,84,144
,,84,152
,,84,160
,,84,162
,,84,166
,,84,174
,,84,180
,,85,1
,,85,17
,,85,18
,,85,41
,,85,51
,,85,74
,,85,85
,,85,86
,,85,142
,,85,146
,,85,151
,,85,160
,,86,7
,,86,8
,,86,10
,,86,12
,,86,14
,,86,18
,,86,19
,,86,20
,,86,21
,,86,23
,,86,28
,,86,30
,,86,31
,,86,33
,,86,35
,,86,36
,,86,37
,,86,38
,,86,41
,,86,42
,,86,44
,,86,47
,,86,55
,,86,58
,,86,62
,,86,65
,,86,67
,,86,68
,,86,69
,,86,70
,,86,74
,,86,79
,,86,81
,,86,82
,,86,83
,,86,84
,,86,85
,,86,86
,,86,87
,,86,90
,,86,92
,,86,94
,,86,95
,,86,96
,,86,98
,,86,100
,,86,103
,,86,105
,,86,106
,,86,107
,,86,113
,,86,114
,,86,115
,,86,117
,,86,121
,,86,125
,,86,128
,,86,129
,,86,131
,,86,132
,,86,138
,,86,141
,,86,142
,,86,143
,,86,145
,,86,151
,,86,152
,,86,153
,,86,154
,,86,163
,,86,166
,,86,170
,,86,172
,,86,177
,,86,180
,,86,184
,,86,189
,,86,190
,,86,191
,,86,196
,,86,197
,,87,13
,,87,17
,,87,20
,,87,21
,,87,23
,,87,28
,,87,41
,,87,42
,,87,45
,,87,49
,,87,50
,,87,58
,,87,74
,,87,77
,,87,81
,,87,82
,,87,83
,,87,84
,,87,87
,,87,105
,,87,106
,,87,107
,,87,115
,,87,128
,,87,129
,,87,131
,,87,132
,,87,137
,,87,145
,,87,152
,,87,153
,,87,154
,,87,155
,,87,160
,,87,161
,,87,163
,,87,166
,,87,173
,,87,180
,,87,183
,,87,187
,,87,189
,,87,190
,,88,0
,,88,88
,,88,89
,,88,96
,,88,129
,,88,137
,,88,149
,,88,183
,,89,2
,,89,3
,,89,4
,,89,10
,,89,54
,,89,57
,,89,58
,,89,59
,,89,62
,,89,63
,,89,64
,,89,76
,,89,88
,,89,89
,,89,91
,,89,96
,,89,114
,,89,136
,,89,159
,,89,165
,,89,169
,,89,183
,,90,11
,,90,13
,,90,62
,,90,66
,,90,86
,,90,90
,,90,91
,,90,106
,,90,107
,,90,108
,,90,143
,,90,183
,,91,11
,,91,64
,,91,66
,,91,89
,,91,90
,,91,91
,,91,96
,,91,107
,,91,108
,,91,110
,,91,143
,,91,160
,,91,183
,,92,11
,,92,20
,,92,21
,,92,22
,,92,65
,,92,68
,,92,72
,,92,80
,,92,86
,,92,92
,,92,96
,,92,100
,,92,105
,,92,127
,,92,137
,,92,152
,,92,160
,,92,173
,,93,14
,,93,16
,,93,25
,,93,27
,,93,28
,,93,29
,,93,30
,,93,32
,,93,36
,,93,39
,,93,40
,,93,41
,,93,51
,,93,62
,,93,64
,,93,78
,,93,86
,,93,93
,,93,95
,,93,108
,,93,114
,,93,116
,,93,121
,,93,128
,,93,129
,,93,133
,,93,135
,,93,136
,,93,143
,,93,165
,,93,168
,,93,169
,,93,171
,,93,172
,,93,183
,,93,197
,,94,41
,,94,86
,,94,94
,,94,95
,,94,120
,,94,128
,,94,177
,,94,199
,,94,200
,,95,6
,,95,13
,,95,41
,,95,51
,,95,60
,,95,61
,,95,64
